round,x,y,alpha,beta,alpha_x,beta_y,delta_x,x2,y2,alpha_x2,beta_y2
1,100,100,1,2,100,200,0.1,90,110,90,220
2,100,100,1,3,100,300,0.1,90,110,90,330
3,100,100,2,3,200,300,0.1,90,110,180,330
4,100,100,1,2,100,200,0.25,75,125,75,250
5,100,100,1,3,100,300,0.25,75,125,75,375
6,100,100,2,3,200,300,0.25,75,125,150,375
7,100,100,1,2,100,200,0.5,50,150,50,300
8,100,100,1,3,100,300,0.5,50,150,50,450
9,100,100,2,3,200,300,0.5,50,150,100,450
10,100,100,1,2,100,200,0.7,30,170,30,340
11,100,100,1,3,100,300,0.7,30,170,30,510
12,100,100,2,3,200,300,0.7,30,170,60,510
13,200,200,1,2,200,400,0.1,180,220,180,440
14,200,200,1,3,200,600,0.1,180,220,180,660
15,200,200,2,3,400,600,0.1,180,220,360,660
16,200,200,1,2,200,400,0.25,150,250,150,500
17,200,200,1,3,200,600,0.25,150,250,150,750
18,200,200,2,3,400,600,0.25,150,250,300,750
19,200,200,1,2,200,400,0.5,100,300,100,600
20,200,200,1,3,200,600,0.5,100,300,100,900
21,200,200,2,3,400,600,0.5,100,300,200,900
22,200,200,1,2,200,400,0.7,60,340,60,680
23,200,200,1,3,200,600,0.7,60,340,60,1020
24,200,200,2,3,400,600,0.7,60,340,120,1020
